playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
Пятый Канал +2,X5kanal-ru-pl2,OK,98.42,2026-09-07T00:15:00+00:00,296
Пятый канал +7,X5kanal-ru-pl7,OK,93.42,2026-09-06T19:15:00+00:00,289
Россия К,Xkultura,OK,94.75,2026-09-06T20:35:00+00:00,262
Россия К +2,Xkultura-pl2,OK,95.67,2026-09-06T21:30:00+00:00,266
Россия К +4,Xkultura-pl4,OK,94.33,2026-09-06T20:10:00+00:00,257
Россия К +7,Xkultura-pl7,OK,91.33,2026-09-06T17:10:00+00:00,253
ТВЦ,Xtvcentr,OK,95.83,2026-09-06T21:40:00+00:00,296
РБК-ТВ,Xrbk,OK,95.83,2026-09-06T21:40:00+00:00,515
ТВЦ International,Xtvci,OK,100.58,2026-09-07T02:25:00+00:00,242
ТВ Центр HD,Xtvcentr,OK,95.83,2026-09-06T21:40:00+00:00,296
ТВЦ +2,Xtvcentr-pl2,OK,95.17,2026-09-06T21:00:00+00:00,233
ТВЦ +7,Xtvcentr-pl7,OK,95.08,2026-09-06T20:55:00+00:00,233
ОТР,Xotr,OK,96.0,2026-09-06T21:50:00+00:00,296
RTVi,Xrtvi,OK,100.67,2026-09-07T02:30:00+00:00,253
Перец,Xperec-int,OK,98.83,2026-09-07T00:40:00+00:00,151
Пятница,Xpiatnica,OK,95.83,2026-09-06T21:40:00+00:00,209
Пятница HD,Xpiatnica,OK,95.83,2026-09-06T21:40:00+00:00,209
Пятница +7,piatnica-pl7,OK,88.83,2026-09-06T14:40:00+00:00,202
Пятница +4,piatnica-pl4,OK,91.83,2026-09-06T17:40:00+00:00,209
Пятница +2,piatnica-pl2,OK,93.83,2026-09-06T19:40:00+00:00,205
Суббота,Xsuper,OK,95.83,2026-09-06T21:40:00+00:00,443
Настоящее время HD,Xnastoyaschee-vremia,OK,95.67,2026-09-06T21:30:00+00:00,277
Ю+,Xyu,OK,99.08,2026-09-07T00:55:00+00:00,107
Ю+ 2,yu-pl2,OK,97.08,2026-09-06T22:55:00+00:00,104
Ю+ 4,yu-pl4,OK,95.08,2026-09-06T20:55:00+00:00,107
Ю+ 7,yu-pl7,OK,92.08,2026-09-06T17:55:00+00:00,108
Мир,Xmir,OK,100.58,2026-09-07T02:25:00+00:00,249
Мир +4,Xmir-pl4,OK,94.92,2026-09-06T20:45:00+00:00,193
Мир +7,Xmir-pl7,OK,91.92,2026-09-06T17:45:00+00:00,192
Звезда HD,Xzvezda,OK,95.17,2026-09-06T21:00:00+00:00,246
Звезда,Xzvezda,OK,95.17,2026-09-06T21:00:00+00:00,246
Звезда +2,Xzvezda-pl2,OK,93.17,2026-09-06T19:00:00+00:00,257
Звезда Плюс,Xzvezda-plus,OK,95.67,2026-09-06T21:30:00+00:00,323
Домашний,Xdomashny,OK,100.17,2026-09-07T02:00:00+00:00,288
Звезда +7,Xzvezda-pl7,OK,88.17,2026-09-06T14:00:00+00:00,228
Домашний HD,Xdomashny,OK,100.17,2026-09-07T02:00:00+00:00,288
Домашний +4,Xdomashny-pl4,OK,96.58,2026-09-06T22:25:00+00:00,285
Домашний +2,Xdomashny-pl2,OK,98.58,2026-09-07T00:25:00+00:00,285
Севастополь 24 HD,Xsevastopol-24,OK,95.92,2026-09-06T21:45:00+00:00,360
КРЫМ 24,Xkrym24,OK,95.67,2026-09-06T21:30:00+00:00,737
Первый Крымский,Xpervy-krymsky,OK,95.55,2026-09-06T21:23:00+00:00,364
