playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
Пятница +7,Россия,iptv-online-primary,Xpiatnica-pl7,piatnica-pl7,,,,
Пятница +4,Россия,iptv-online-primary,Xpiatnica-pl4,piatnica-pl4,,,,
Пятница +2,Россия,iptv-online-primary,Xpiatnica-pl2,piatnica-pl2,,,,
Суббота,Россия,iptv-online-primary,Xsuper,Xsuper,,,,
Настоящее время HD,Россия,iptv-online-primary,Xnastoyaschee-vremia,Xnastoyaschee-vremia,,,,
Ю+,Россия,iptv-online-primary,Xyu,Xyu,,,,
Ю+ 2,Россия,iptv-online-primary,Xyu-pl2,yu-pl2,,,,
Ю+ 4,Россия,iptv-online-primary,Xyu-pl4,yu-pl4,,,,
Ю+ 7,Россия,iptv-online-primary,Xyu-pl7,yu-pl7,,,,
Мир,Россия,iptv-online-primary,Xmir,Xmir,,,,
Мир +4,Россия,iptv-online-primary,Xmir-pl4,Xmir-pl4,,,,
Мир +7,Россия,iptv-online-primary,Xmir-pl7,Xmir-pl7,,,,
Звезда HD,Россия,iptv-online-primary,Xzvezda,Xzvezda,,,,
Звезда,Россия,iptv-online-primary,Xzvezda,Xzvezda,,,,
Звезда +2,Россия,iptv-online-primary,Xzvezda-pl2,Xzvezda-pl2,,,,
Звезда Плюс,Россия,iptv-online-primary,Xzvezda-plus,Xzvezda-plus,,,,
Домашний,Россия,iptv-online-primary,Xdomashny,Xdomashny,,,,
Звезда +7,Россия,iptv-online-primary,Xzvezda-pl7,Xzvezda-pl7,,,,
Домашний HD,Россия,iptv-online-primary,Xdomashny,Xdomashny,,,,
Домашний +4,Россия,iptv-online-primary,Xdomashny-pl4,Xdomashny-pl4,,,,
Домашний +2,Россия,iptv-online-primary,Xdomashny-pl2,Xdomashny-pl2,,,,
Севастополь 24 HD,Россия,iptv-online-primary,Xsevastopol-24,Xsevastopol-24,,,,
КРЫМ 24,Россия,iptv-online-primary,Xkrym24,Xkrym24,,,,
Первый Крымский,Россия,iptv-online-primary,Xpervy-krymsky,Xpervy-krymsky,,,,
НТС Севастополь,Россия,iptv-online-primary,Xnts-sevastopol,Xnts-sevastopol,,,,
