playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Sky One HD,X401732,X401732,Германия,DE,iptv-online-primary,X401732,id,99
Sky Showcase HD,X10918,X10918,Германия,DE,iptv-online-primary,X10918,id,99
Sky Nature,X10640,X10640,Германия,DE,iptv-online-primary,X10640,id,99
Sky Documentaries,X10620,X10620,Германия,DE,iptv-online-primary,X10620,id,99
Sky Krimi HD,X76663,X76663,Германия,DE,iptv-online-primary,X76663,id,99
Sky Cinema Highlights,X321554,X321554,Германия,DE,iptv-online-primary,X321554,id,99
Comedy Central HD DE,X76742,X76742,Германия,DE,iptv-online-primary,X76742,id,99
Universal TV HD DE,X76662,X76662,Германия,DE,iptv-online-primary,X76662,id,99
NOW HD,X76694,X76694,Германия,DE,iptv-online-primary,X76694,id,99
Warner TV Serie HD,X76806,X76806,Германия,DE,iptv-online-primary,X76806,id,99
Warner TV Comedy HD,X76679,X76679,Германия,DE,iptv-online-primary,X76679,id,99
Warner TV Film HD,X76645,X76645,Германия,DE,iptv-online-primary,X76645,id,99
One HD,X76738,X76738,Германия,DE,iptv-online-primary,X76738,id,99
Phoenix HD,X76649,X76649,Германия,DE,iptv-online-primary,X76649,id,99
Geo Television HD,X76800,X76800,Германия,DE,iptv-online-primary,X76800,id,99
Discovery HD DE,X76686,X76686,Германия,DE,iptv-online-primary,X76686,id,99
Kabel Eins Doku HD,X76715,X76715,Германия,DE,iptv-online-primary,X76715,id,99
TLC HD,X76699,X76699,Германия,DE,iptv-online-primary,X76699,id,99
Toggo HD,X76767,X76767,Германия,DE,iptv-online-primary,X76767,id,99
Toggo Plus HD,X76789,X76789,Германия,DE,iptv-online-primary,X76789,id,99
Cartoon Network DE,X76763,X76763,Германия,DE,iptv-online-primary,X76763,id,99
Disney HD DE,X76786,X76786,Германия,DE,iptv-online-primary,X76786,id,99
Jukebox,X76615,X76615,Германия,DE,iptv-online-primary,X76615,id,99
Das Erste HD,X76674,X76674,Германия,DE,iptv-online-primary,X76674,id,99
ZDFinfo HD,X76718,X76718,Германия,DE,iptv-online-primary,X76718,id,99
ZDFneo HD,X76739,X76739,Германия,DE,iptv-online-primary,X76739,id,99
SIXX HD DE,X76614,X76614,Германия,DE,iptv-online-primary,X76614,id,99
Kabel Eins classic HD,X76725,X76725,Германия,DE,iptv-online-primary,X76725,id,99
NITRO HD,X76787,X76787,Германия,DE,iptv-online-primary,X76787,id,99
Romance TV DE,X76624,X76624,Германия,DE,iptv-online-primary,X76624,id,99
3 Sat HD DE,X76682,X76682,Германия,DE,iptv-online-primary,X76682,id,99
NDR HD DE,X76748,X76748,Германия,DE,iptv-online-primary,X76748,id,99
SWR Fernsehen RP HD,X76693,X76693,Германия,DE,iptv-online-primary,X76693,id,99
HR HD DE,X76648,X76648,Германия,DE,iptv-online-primary,X76648,id,99
Bibel TV HD,X76794,X76794,Германия,DE,iptv-online-primary,X76794,id,99
Anixe HD DE,X76745,X76745,Германия,DE,iptv-online-primary,X76745,id,99
Motorvision TV DE,X76630,X76630,Германия,DE,iptv-online-primary,X76630,id,99
ORF 2 HD,X76616,X76616,Германия,DE,iptv-online-primary,X76616,id,99
ORF 3 HD,X76734,X76734,Германия,DE,iptv-online-primary,X76734,id,99
ATV DE,X76810,X76810,Германия,DE,iptv-online-primary,X76810,id,99
ATV 2 DE,X76638,X76638,Германия,DE,iptv-online-primary,X76638,id,99
KIKA HD DE,X76680,X76680,Германия,DE,iptv-online-primary,X76680,id,99
Crime + Investigation,X76667,X76667,Германия,DE,iptv-online-primary,X76667,id,99
QVC HD,X76697,X76697,Германия,DE,iptv-online-primary,X76697,id,99
QVC ZWEI HD,X76618,X76618,Германия,DE,iptv-online-primary,X76618,id,99
DF1 HD,X182674,X182674,Германия,DE,iptv-online-primary,X182674,id,99
RiC NEU,X76731,X76731,Германия,DE,iptv-online-primary,X76731,id,99
oe24.TV HD,X100304,X100304,Германия,DE,iptv-online-primary,X100304,id,99
Heimatkanal,X76675,X76675,Германия,DE,iptv-online-primary,X76675,id,99
1-2-3.tv HD,X123.tv.de,X123.tv.de,Германия,DE,iptv-online-primary,X123.tv.de,id,99
HSE Extra HD,X76737,X76737,Германия,DE,iptv-online-primary,X76737,id,99
Channel 9 HD,Xערוץ.9.שידור.חי.il,Xערוץ.9.שידור.חי.il,Израиль,IL,iptv-online-primary,Xערוץ.9.שידור.חי.il,id,99
Keshet 12 HD,X991603,X991603,Израиль,IL,iptv-online-primary,X991603,id,99
Reshet 13 HD,X991604,X991604,Израиль,IL,iptv-online-primary,X991604,id,99
now 14 HD,X991622,X991622,Израиль,IL,iptv-online-primary,X991622,id,99
Channel 24,X991612,X991612,Израиль,IL,iptv-online-primary,X991612,id,99
Kan 11 HD,X991576,X991576,Израиль,IL,iptv-online-primary,X991576,id,99
Hot Cinema 1 HD,X991584,X991584,Израиль,IL,iptv-online-primary,X991584,id,99
Hot Cinema 2 HD,X991585,X991585,Израиль,IL,iptv-online-primary,X991585,id,99
Hot Cinema 3 HD,X991586,X991586,Израиль,IL,iptv-online-primary,X991586,id,99
Hot Cinema 4 HD,X991587,X991587,Израиль,IL,iptv-online-primary,X991587,id,99
Hot 3 HD,X991599,X991599,Израиль,IL,iptv-online-primary,X991599,id,99
Hot 8 HD,Xערוץ.8.שידור.חי.il,Xערוץ.8.שידור.חי.il,Израиль,IL,iptv-online-primary,Xערוץ.8.שידור.חי.il,id,99
HOT Zone HD,X991583,X991583,Израиль,IL,iptv-online-primary,X991583,id,99
Yam Tiсhoni HD,X991600,X991600,Израиль,IL,iptv-online-primary,X991600,id,99
Hop!,X991589,X991589,Израиль,IL,iptv-online-primary,X991589,id,99
One HD,X991623,X991623,Израиль,IL,iptv-online-primary,X991623,id,99
One 2 HD,X991784,X991784,Израиль,IL,iptv-online-primary,X991784,id,99
Sport 1 HD,X991787,X991787,Израиль,IL,iptv-online-primary,X991787,id,99
Sport 2 HD,X991796,X991796,Израиль,IL,iptv-online-primary,X991796,id,99
Sport 3 HD,X991788,X991788,Израиль,IL,iptv-online-primary,X991788,id,99
Sport 4 HD,X991783,X991783,Израиль,IL,iptv-online-primary,X991783,id,99
Sport 5 HD,X991606,X991606,Израиль,IL,iptv-online-primary,X991606,id,99
Sport 5 Stars HD,X991790,X991790,Израиль,IL,iptv-online-primary,X991790,id,99
Sport 5 Plus HD,X991605,X991605,Израиль,IL,iptv-online-primary,X991605,id,99
Sport 5 Live HD,X991593,X991593,Израиль,IL,iptv-online-primary,X991593,id,99
Home+,X991573,X991573,Израиль,IL,iptv-online-primary,X991573,id,99
TVN Siedem HD,XTVN.7.HD.pl,XTVN.7.HD.pl,Польша,PL,iptv-online-primary,XTVN.7.HD.pl,id,99
TVP Rozrywka,XTVP.Rozrywka.pl,XTVP.Rozrywka.pl,Польша,PL,iptv-online-primary,XTVP.Rozrywka.pl,id,99
BBC Lifestyle HD,XBBC.Lifestyle.HD.pl,XBBC.Lifestyle.HD.pl,Польша,PL,iptv-online-primary,XBBC.Lifestyle.HD.pl,id,99
BBC Brit HD,XBBC.Brit.HD.pl,XBBC.Brit.HD.pl,Польша,PL,iptv-online-primary,XBBC.Brit.HD.pl,id,99
AMC HD PL,XAMC.HD.pl,XAMC.HD.pl,Польша,PL,iptv-online-primary,XAMC.HD.pl,id,99
E! Entertainment,XE!.Entertainment.HD.pl,XE!.Entertainment.HD.pl,Польша,PL,iptv-online-primary,XE!.Entertainment.HD.pl,id,99
Romance TV HD,XRomance.TV.HD.pl,XRomance.TV.HD.pl,Польша,PL,iptv-online-primary,XRomance.TV.HD.pl,id,99
WP HD,XWP.pl,XWP.pl,Польша,PL,iptv-online-primary,XWP.pl,id,99
SciFi HD,XSCI.FI.HD.pl,XSCI.FI.HD.pl,Польша,PL,iptv-online-primary,XSCI.FI.HD.pl,id,99
ID Investigation Discovery PL,XID.HD.pl,XID.HD.pl,Польша,PL,iptv-online-primary,XID.HD.pl,id,99
Zoom TV,XZOOM.TV.HD.pl,XZOOM.TV.HD.pl,Польша,PL,iptv-online-primary,XZOOM.TV.HD.pl,id,99
Polo TV,XPolo.TV.HD.pl,XPolo.TV.HD.pl,Польша,PL,iptv-online-primary,XPolo.TV.HD.pl,id,99
Puls 2 HD,XPULS.2.HD.pl,XPULS.2.HD.pl,Польша,PL,iptv-online-primary,XPULS.2.HD.pl,id,99
1 TV,X1TV_GE,X1TV_GE,Грузия,GE,iptv-online-primary,X1TV_GE,id,99
GDS TV,XGDS,XGDS,Грузия,GE,iptv-online-primary,XGDS,id,99
Adjara TV,XAdjara,XAdjara,Грузия,GE,iptv-online-primary,XAdjara,id,99
Rustavi 2,XRustavi2,XRustavi2,Грузия,GE,iptv-online-primary,XRustavi2,id,99
Comedy Arkhi,XComedyArkhi,XComedyArkhi,Грузия,GE,iptv-online-primary,XComedyArkhi,id,99
Formula,XFormula,XFormula,Грузия,GE,iptv-online-primary,XFormula,id,99
Ertsulovneba,XErtsulovneba,XErtsulovneba,Грузия,GE,iptv-online-primary,XErtsulovneba,id,99
Euronews Georgia,XEURONEWS_GE,XEURONEWS_GE,Грузия,GE,iptv-online-primary,XEURONEWS_GE,id,99
Silk Universal,XSilk_Universal,XSilk_Universal,Грузия,GE,iptv-online-primary,XSilk_Universal,id,99
Setanta Sports 2,XSetanta Sports 2,XSetanta Sports 2,Грузия,GE,iptv-online-primary,XSetanta Sports 2,id,99
bTV,XbTV.bg,XbTV.bg,Болгария,BG,iptv-online-primary,XbTV.bg,id,99
Kino Nova HD,XKinoNova.bg,XKinoNova.bg,Болгария,BG,iptv-online-primary,XKinoNova.bg,id,99
bTV Action,XbTV.Action.bg,XbTV.Action.bg,Болгария,BG,iptv-online-primary,XbTV.Action.bg,id,99
bTV Comedy,XbTV.Comedy.bg,XbTV.Comedy.bg,Болгария,BG,iptv-online-primary,XbTV.Comedy.bg,id,99
bTV Cinema,XbTV.Cinema.bg,XbTV.Cinema.bg,Болгария,BG,iptv-online-primary,XbTV.Cinema.bg,id,99
