playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Spektrum Home HU,XSpektrum.Home.hu,XSpektrum.Home.hu,Венгрия,HU,iptv-online-primary,XSpektrum.Home.hu,id,99
Arena4 HU,XAréna4.hu,XAréna4.hu,Венгрия,HU,iptv-online-primary,XAréna4.hu,id,99
Cartoon Network HU,XCartoon.Network.hu,XCartoon.Network.hu,Венгрия,HU,iptv-online-primary,XCartoon.Network.hu,id,99
Duna HU,XDuna.TV.hu,XDuna.TV.hu,Венгрия,HU,iptv-online-primary,XDuna.TV.hu,id,99
M4 HU,Xm4.hu,Xm4.hu,Венгрия,HU,iptv-online-primary,Xm4.hu,id,99
Love Nature HD HU,XLove.Nature.hu,XLove.Nature.hu,Венгрия,HU,iptv-online-primary,XLove.Nature.hu,id,99
Film+ HU,XFilm+.hu,XFilm+.hu,Венгрия,HU,iptv-online-primary,XFilm+.hu,id,99
Magyar Mozi TV HU,XMagyar.Mozi.TV.hu,XMagyar.Mozi.TV.hu,Венгрия,HU,iptv-online-primary,XMagyar.Mozi.TV.hu,id,99
Mozi+ HU,XMozi+.hu,XMozi+.hu,Венгрия,HU,iptv-online-primary,XMozi+.hu,id,99
Sport 1 HU,XSport1.hu,XSport1.hu,Венгрия,HU,iptv-online-primary,XSport1.hu,id,99
Sport 2 HU,XSport2.hu,XSport2.hu,Венгрия,HU,iptv-online-primary,XSport2.hu,id,99
Spiler 2 HU,XSpíler2.TV.hu,XSpíler2.TV.hu,Венгрия,HU,iptv-online-primary,XSpíler2.TV.hu,id,99
m1 HU,Xm1.HD.hu,Xm1.HD.hu,Венгрия,HU,iptv-online-primary,Xm1.HD.hu,id,99
m2 Petofi HU,Xm2.HD.hu,Xm2.HD.hu,Венгрия,HU,iptv-online-primary,Xm2.HD.hu,id,99
MATCH4 HD HU,XMatch.4.hu,XMatch.4.hu,Венгрия,HU,iptv-online-primary,XMatch.4.hu,id,99
Eurosport HU,XEurosport.HD.hu,XEurosport.HD.hu,Венгрия,HU,iptv-online-primary,XEurosport.HD.hu,id,99
Eurosport 2 HU,XEurosport.2.HD.hu,XEurosport.2.HD.hu,Венгрия,HU,iptv-online-primary,XEurosport.2.HD.hu,id,99
Nova Sport 1 HD,X07ceb1ac6be64075dded2510c27e0c6e,X07ceb1ac6be64075dded2510c27e0c6e,SkyLink,CZ/SK,iptv-online-primary,X07ceb1ac6be64075dded2510c27e0c6e,id,99
Nova Sport 2 HD,X366a88cf3a4bab603ef6408966546e71,X366a88cf3a4bab603ef6408966546e71,SkyLink,CZ/SK,iptv-online-primary,X366a88cf3a4bab603ef6408966546e71,id,99
Nova Sport 5 HD,X7845ca0015c718657d785b311edf5079,X7845ca0015c718657d785b311edf5079,SkyLink,CZ/SK,iptv-online-primary,X7845ca0015c718657d785b311edf5079,id,99
Arena Sport 2 HD,X29310a006ce41c9fb5cca14f333849fb,X29310a006ce41c9fb5cca14f333849fb,SkyLink,CZ/SK,iptv-online-primary,X29310a006ce41c9fb5cca14f333849fb,id,99
Sport 1 HD,X18e7a585715561d4bb2606977deb20f6,X18e7a585715561d4bb2606977deb20f6,SkyLink,CZ/SK,iptv-online-primary,X18e7a585715561d4bb2606977deb20f6,id,99
JOJ Sport HD,Xeacbd3c220de39cfa7c855755d1291cf,Xeacbd3c220de39cfa7c855755d1291cf,SkyLink,CZ/SK,iptv-online-primary,Xeacbd3c220de39cfa7c855755d1291cf,id,99
CANAL+ Sport (SK),Xba551cee37d621f3a459d798ae881e5e,Xba551cee37d621f3a459d798ae881e5e,SkyLink,CZ/SK,iptv-online-primary,Xba551cee37d621f3a459d798ae881e5e,id,99
Ketnet,XKetnet.be,XKetnet.be,BE & NL,BE/NL,iptv-online-primary,XKetnet.be,id,99
VTM 2 HD,XVTM.2.be,XVTM.2.be,BE & NL,BE/NL,iptv-online-primary,XVTM.2.be,id,99
VTM 3,XVTM.3.be,XVTM.3.be,BE & NL,BE/NL,iptv-online-primary,XVTM.3.be,id,99
VTM 4,XVTM.4.be,XVTM.4.be,BE & NL,BE/NL,iptv-online-primary,XVTM.4.be,id,99
24Kitchen,X24Kitchen.nl,X24Kitchen.nl,BE & NL,BE/NL,iptv-online-primary,X24Kitchen.nl,id,99
CANAL+ Action,XCanal+.Action.nl,XCanal+.Action.nl,BE & NL,BE/NL,iptv-online-primary,XCanal+.Action.nl,id,99
Disney Channel,XDisney.Channel.nl,XDisney.Channel.nl,BE & NL,BE/NL,iptv-online-primary,XDisney.Channel.nl,id,99
Film1 Action,XFilm1.Action.nl,XFilm1.Action.nl,BE & NL,BE/NL,iptv-online-primary,XFilm1.Action.nl,id,99
Film1 Drama,XFilm1.Drama.nl,XFilm1.Drama.nl,BE & NL,BE/NL,iptv-online-primary,XFilm1.Drama.nl,id,99
Film1 Family,XFilm1.Family.nl,XFilm1.Family.nl,BE & NL,BE/NL,iptv-online-primary,XFilm1.Family.nl,id,99
History NL,XHISTORY.nl,XHISTORY.nl,BE & NL,BE/NL,iptv-online-primary,XHISTORY.nl,id,99
Love Nature HD BNL,XLove.Nature.nl,XLove.Nature.nl,BE & NL,BE/NL,iptv-online-primary,XLove.Nature.nl,id,99
NPO1 HD,XNPO.1.nl,XNPO.1.nl,BE & NL,BE/NL,iptv-online-primary,XNPO.1.nl,id,99
NPO2 HD,XNPO.2.nl,XNPO.2.nl,BE & NL,BE/NL,iptv-online-primary,XNPO.2.nl,id,99
NPO3 HD,XNPO.3.nl,XNPO.3.nl,BE & NL,BE/NL,iptv-online-primary,XNPO.3.nl,id,99
National Geographic Wild,XNational.Geographic.nl,XNational.Geographic.nl,BE & NL,BE/NL,iptv-online-primary,XNational.Geographic.nl,id,99
ONS,XONS.nl,XONS.nl,BE & NL,BE/NL,iptv-online-primary,XONS.nl,id,99
Omroep Brabant Televisie,XOmroep.Brabant.nl,XOmroep.Brabant.nl,BE & NL,BE/NL,iptv-online-primary,XOmroep.Brabant.nl,id,99
Omrop Fryslan Televisie,XOmrop.Fryslân.nl,XOmrop.Fryslân.nl,BE & NL,BE/NL,iptv-online-primary,XOmrop.Fryslân.nl,id,99
RTL Z,XRTL.Z.nl,XRTL.Z.nl,BE & NL,BE/NL,iptv-online-primary,XRTL.Z.nl,id,99
RTL4 HD,XRTL.4.nl,XRTL.4.nl,BE & NL,BE/NL,iptv-online-primary,XRTL.4.nl,id,99
RTL5 HD,XRTL.5.nl,XRTL.5.nl,BE & NL,BE/NL,iptv-online-primary,XRTL.5.nl,id,99
RTL7 HD,XRTL.7.nl,XRTL.7.nl,BE & NL,BE/NL,iptv-online-primary,XRTL.7.nl,id,99
RTL8 HD,XRTL.8.nl,XRTL.8.nl,BE & NL,BE/NL,iptv-online-primary,XRTL.8.nl,id,99
Star Channel,XSTAR.Channel.nl,XSTAR.Channel.nl,BE & NL,BE/NL,iptv-online-primary,XSTAR.Channel.nl,id,99
VRT 1,XVRT.1.nl,XVRT.1.nl,BE & NL,BE/NL,iptv-online-primary,XVRT.1.nl,id,99
Viaplay TV,XViaplay.TV.nl,XViaplay.TV.nl,BE & NL,BE/NL,iptv-online-primary,XViaplay.TV.nl,id,99
ESPN 2 HD,XESPN.2.nl,XESPN.2.nl,BE & NL,BE/NL,iptv-online-primary,XESPN.2.nl,id,99
ESPN 4 HD,XESPN.4.nl,XESPN.4.nl,BE & NL,BE/NL,iptv-online-primary,XESPN.4.nl,id,99
Ziggo Sport 2,XZiggo.Sport.2.nl,XZiggo.Sport.2.nl,BE & NL,BE/NL,iptv-online-primary,XZiggo.Sport.2.nl,id,99
Ziggo Sport 6,XZiggo.Sport.6.nl,XZiggo.Sport.6.nl,BE & NL,BE/NL,iptv-online-primary,XZiggo.Sport.6.nl,id,99
Comedy Central HD,,X76742,UK,GB,iptv-online-primary,X76742,name,90
Crime Investigation HD,,X76667,UK,GB,iptv-online-primary,X76667,name,90
KBC+100500 (18+),X42052,X42052,Для взрослых,,iptv-online-primary,X42052,id,99
Сонце,Xsonce-ua,Xsonce-ua,Украинские,UA,iptvx-noarch,sonce-ua,name,90
ТРК Київ,Xkyiv-ua,Xkyiv-ua,Украинские,UA,iptvx-noarch,kyiv-ua,name,90
Караван ТВ,Xkaravan-tv,Xkaravan-tv,Украинские,UA,iptvx-noarch,karavan-tv,name,90
Сонце+,,sonce-ua,Украинские,UA,iptvx-noarch,sonce-ua,name,90
BOX Relax 4K,Xbox-relax,Xbox-relax,Кино 4K,,iptvx-noarch,box-relax,name,90
Fon Music,Xtnt-music,Xtnt-music,Музыкальные,,iptvx-noarch,tnt-music,name,90
Now Rock,,now-rock,Музыкальные,,iptvx-noarch,now-rock,name,90
Viju+ Megahit HD,Xvip-megahit,Xvip-megahit,Кино,,runigma-iptv,vip-megahit,name,90
Viju+ Premiere HD,Xvip-premiere,Xvip-premiere,Кино,,runigma-iptv,vip-premiere,name,90
Amedia Hit,Xamedia-hit,Xamedia-hit,Кино,,runigma-iptv,amedia-Hit,name,90
BCU Comedy HD,Xbcu-comedy,Xbcu-comedy,Кинозалы,,runigma-iptv,bcu-comedy-HD,name,90
BCU Fantastic HD,Xbcu-fantastic,Xbcu-fantastic,Кинозалы,,runigma-iptv,bcu-fantastic-HD,name,90
BCU Kinorating HD,Xbcu-kinorating,Xbcu-kinorating,Кинозалы,,runigma-iptv,bcu-Kinorating-HD,name,90
BCU VHS HD,Xbcu-vhs,Xbcu-vhs,Кинозалы,,runigma-iptv,bcu-VHS-HD,name,90
BCU Fantastic HDR,,bcu-fantastic-HD,Кинозалы,,runigma-iptv,bcu-fantastic-HD,name,90
YOSSO TV Grand,Xyosso-grand,Xyosso-grand,Кинозалы,,runigma-iptv,yosso-tv-grand,name,90
YOSSO TV VHS,Xyosso-vhs,Xyosso-vhs,Кинозалы,,runigma-iptv,yosso-tv-vhs,name,90
YOSSO TV BEST,Xyosso-best,Xyosso-best,Кинозалы,,runigma-iptv,yosso-tv-best,name,90
YOSSO TV Adrenaline,Xyosso-adventure,Xyosso-adventure,Кинозалы,,runigma-iptv,yosso-tv-adrenaline,name,90
YOSSO TV Adventure,Xyosso-adventure,Xyosso-adventure,Кинозалы,,runigma-iptv,yosso-tv-adventure,name,90
YOSSO TV OBLIVION,Xyosso-oblivion,Xyosso-oblivion,Кинозалы,,runigma-iptv,yosso-tv-oblivion,name,90
BOX Franchise HD,Xbox-franchise,Xbox-franchise,Кинозалы,,runigma-iptv,box-franchise-hd,name,90
BOX Ghost HD,Xbox-ghost,Xbox-ghost,Кинозалы,,runigma-iptv,box-ghost-hd,name,90
BOX Fantasy HD,Xbox-fantasy,Xbox-fantasy,Кинозалы,,runigma-iptv,box-fantasy-hd,name,90
BOX Mayday HD,Xbox-myday,Xbox-myday,Кинозалы,,runigma-iptv,box-mayday-hd,name,90
TVPlay Латинские сериалы ретро,,tvplay-latserialretro,Кинозалы,,runigma-iptv,tvplay-latserialretro,alias,100
CPS Drama,,cps-drama,Кинозалы,,runigma-iptv,cps-drama,alias,100
CPS Comedy,,cps-comedy,Кинозалы,,runigma-iptv,cps-comedy,alias,100
CPS Action,,cps-action,Кинозалы,,runigma-iptv,cps-action,alias,100
CPS Mix,,cps-mix,Кинозалы,,runigma-iptv,cps-mix,alias,100
CPS Fiction,,cps-fiction,Кинозалы,,runigma-iptv,cps-fiction,alias,100
CPS Anime,,cps-anime,Кинозалы,,runigma-iptv,cps-anime,alias,100
CPS Fresh,,cps-fresh,Кинозалы,,runigma-iptv,cps-fresh,alias,100
CPS Detective,,cps-detective,Кинозалы,,runigma-iptv,cps-detective,alias,100
CPS Fresh UA,,cps-fresh-ua,Кинозалы UA,,runigma-iptv,cps-fresh-ua,alias,100
BOX Remast 4K,Xbox-remast-4k,Xbox-remast-4k,Кино 4K,,runigma-iptv,box-remast-4k,name,90
YOSSO TV Kids,Xyosso-kids,Xyosso-kids,Детские,,runigma-iptv,yosso-tv-kids,name,90
YOSSO TV Music Hits,Xyosso-musichits,Xyosso-musichits,Музыкальные,,runigma-iptv,yosso-tv-music-hits,name,90
BOX Music 4K,Xbox-music-4k,Xbox-music-4k,Музыкальные,,runigma-iptv,box-music-4k,name,90
YOSSO TV SEXY,Xyosso-sexy,Xyosso-sexy,Для взрослых,,runigma-iptv,yosso-tv-sexy,name,90
Первый канал +2,Xpervy-pl2,Xpervy-pl2,Россия,RU,openbox-tsd,perviy-plus-2,name,90
Первый HD +4,Xpervy-pl4,Xpervy-pl4,Россия,RU,openbox-tsd,perviy-plus-4,name,90
Первый канал +4,Xpervy-pl4,Xpervy-pl4,Россия,RU,openbox-tsd,perviy-plus-4,name,90
Первый канал +6,Xpervy-pl6,Xpervy-pl6,Россия,RU,openbox-tsd,perviy-plus-6,name,90
Россия 1 HD,Xrossia1,Xrossia1,Россия,RU,openbox-tsd,rossiya-1,name,90
Россия 1,Xrossia1,Xrossia1,Россия,RU,openbox-tsd,rossiya-1,name,90
Россия 1 +2 HD,Xrossia1-pl2,Xrossia1-pl2,Россия,RU,openbox-tsd,rossiya-1-plus-2,name,90
Россия 1 +2,Xrossia1-pl2,Xrossia1-pl2,Россия,RU,openbox-tsd,rossiya-1-plus-2,name,90
Россия 1 +4 HD,Xrossia1-pl4,Xrossia1-pl4,Россия,RU,openbox-tsd,rossiya-1-plus-4,name,90
Россия 1 +4,Xrossia1-pl4,Xrossia1-pl4,Россия,RU,openbox-tsd,rossiya-1-plus-4,name,90
Россия 1 +6 HD,Xrossia1-pl6,Xrossia1-pl6,Россия,RU,openbox-tsd,rossiya-1-plus-6,name,90
Россия 1 +6,Xrossia1-pl6,Xrossia1-pl6,Россия,RU,openbox-tsd,rossiya-1-plus-6,name,90
Россия 1 +9 HD,Xrossia1-pl9,Xrossia1-pl9,Россия,RU,openbox-tsd,rossiya-1-plus-9,name,90
ТНТ,Xtnt,Xtnt,Россия,RU,openbox-tsd,tnt,name,90
ТНТ HD,Xtnt,Xtnt,Россия,RU,openbox-tsd,tnt,name,90
ТНТ +2,Xtnt-pl2,Xtnt-pl2,Россия,RU,openbox-tsd,tnt-plus-2,name,90
ТНТ +4,Xtnt-pl4,Xtnt-pl4,Россия,RU,openbox-tsd,tnt-plus-4,name,90
ТНТ +7,Xtnt-pl7,Xtnt-pl7,Россия,RU,openbox-tsd,tnt-plus-7,name,90
ТНТ4,Xtnt4,Xtnt4,Россия,RU,openbox-tsd,tnt4,name,90
ТНТ4 HD,Xtnt4,Xtnt4,Россия,RU,openbox-tsd,tnt4,name,90
ТНТ4 +2,Xtnt4-pl2,Xtnt4-pl2,Россия,RU,openbox-tsd,tnt4-plus-2,name,90
ТНТ4 +7,Xtnt4-pl7,Xtnt4-pl7,Россия,RU,openbox-tsd,tnt4-plus-7,name,90
ТНТ4 +4,Xtnt4-pl4,Xtnt4-pl4,Россия,RU,openbox-tsd,tnt4-plus-4,name,90
НТВ,Xntv,Xntv,Россия,RU,openbox-tsd,ntv,name,90
НТВ HD,Xntv,Xntv,Россия,RU,openbox-tsd,ntv,name,90
НТВ +2,Xntv-pl2,Xntv-pl2,Россия,RU,openbox-tsd,ntv-plus-2,name,90
НТВ +4,Xntv-pl4,Xntv-pl4,Россия,RU,openbox-tsd,ntv-plus-4,name,90
НТВ +7,Xntv-pl7,Xntv-pl7,Россия,RU,openbox-tsd,ntv-plus-7,name,90
НТВ Стиль,Xntv-style,Xntv-style,Россия,RU,openbox-tsd,ntv-stil,name,90
Время,Xvremia,Xvremia,Россия,RU,openbox-tsd,vremya,name,90
Москва 24,Xmoskva-24,Xmoskva-24,Россия,RU,openbox-tsd,moskva-24,name,90
Санкт-Петербург,Xsankt-peterburg,Xsankt-peterburg,Россия,RU,openbox-tsd,sankt-peterburg,name,90
Рен ТВ,Xrentv,Xrentv,Россия,RU,openbox-tsd,ren-tv,name,90
Рен ТВ HD,Xrentv,Xrentv,Россия,RU,openbox-tsd,ren-tv,name,90
Рен ТВ +2,Xrentv-pl2,Xrentv-pl2,Россия,RU,openbox-tsd,ren-tv-plus-2,name,90
Рен ТВ +7,Xrentv-pl7,Xrentv-pl7,Россия,RU,openbox-tsd,ren-tv-plus-7,name,90
СТС International,sts-int,sts-int,Россия,RU,openbox-tsd,sts-int,id,99
СТС,Xsts,Xsts,Россия,RU,openbox-tsd,sts,name,90
СТС HD,Xsts,Xsts,Россия,RU,openbox-tsd,sts,name,90
СТС +2,Xsts-pl2,Xsts-pl2,Россия,RU,openbox-tsd,sts-plus-2,name,90
СТС +4,Xsts-pl4,Xsts-pl4,Россия,RU,openbox-tsd,sts-plus-4,name,90
СТС Love,Xsts-love,Xsts-love,Россия,RU,openbox-tsd,sts-love,name,90
СТС Love +4,Xsts-love-pl4,Xsts-love-pl4,Россия,RU,openbox-tsd,sts-love-plus-4,name,90
Пятый Канал,X5kanal-ru,X5kanal-ru,Россия,RU,openbox-tsd,5-kanal-rossiya,name,90
Пятый Канал +2,X5kanal-ru-pl2,X5kanal-ru-pl2,Россия,RU,openbox-tsd,5-kanal-rossiya-plus-2,name,90
Пятый канал +7,X5kanal-ru-pl7,X5kanal-ru-pl7,Россия,RU,openbox-tsd,5-kanal-rossiya-plus-7,name,90
Россия К,Xkultura,Xkultura,Россия,RU,openbox-tsd,rossiya-k,name,90
Россия К +2,Xkultura-pl2,Xkultura-pl2,Россия,RU,openbox-tsd,rossiya-k-plus-2,name,90
Россия К +4,Xkultura-pl4,Xkultura-pl4,Россия,RU,openbox-tsd,rossiya-k-plus-4,name,90
Россия К +7,Xkultura-pl7,Xkultura-pl7,Россия,RU,openbox-tsd,rossiya-k-plus-7,name,90
ТВЦ,Xtvcentr,Xtvcentr,Россия,RU,openbox-tsd,tvc,name,90
ТВ Центр HD,Xtvcentr,Xtvcentr,Россия,RU,openbox-tsd,tvc,name,90
ТВЦ +2,Xtvcentr-pl2,Xtvcentr-pl2,Россия,RU,openbox-tsd,tvc-plus-2,name,90
ТВЦ +7,Xtvcentr-pl7,Xtvcentr-pl7,Россия,RU,openbox-tsd,tvc-plus-7,name,90
ОТР,Xotr,Xotr,Россия,RU,openbox-tsd,otr,name,90
RTVi,Xrtvi,Xrtvi,Россия,RU,openbox-tsd,rtvi,name,90
Суббота,Xsuper,Xsuper,Россия,RU,openbox-tsd,subbota,name,90
Настоящее время HD,Xnastoyaschee-vremia,Xnastoyaschee-vremia,Россия,RU,openbox-tsd,nastoyashchee-vremya,name,90
Ю+ 2,yu-pl2,yu-pl2,Россия,RU,openbox-tsd,u-tv-plus-2,name,90
Ю+ 4,yu-pl4,yu-pl4,Россия,RU,openbox-tsd,u-tv-plus-4,name,90
Ю+ 7,yu-pl7,yu-pl7,Россия,RU,openbox-tsd,u-tv-plus-7,name,90
Мир,Xmir,Xmir,Россия,RU,openbox-tsd,mir,name,90
Мир +4,Xmir-pl4,Xmir-pl4,Россия,RU,openbox-tsd,mir-plus-4,name,90
Мир +7,Xmir-pl7,Xmir-pl7,Россия,RU,openbox-tsd,mir-plus-7,name,90
Звезда HD,Xzvezda,Xzvezda,Россия,RU,openbox-tsd,zvezda,name,90
Звезда,Xzvezda,Xzvezda,Россия,RU,openbox-tsd,zvezda,name,90
Звезда +2,Xzvezda-pl2,Xzvezda-pl2,Россия,RU,openbox-tsd,zvezda-plus-2,name,90
Звезда Плюс,Xzvezda-plus,Xzvezda-plus,Россия,RU,openbox-tsd,zvezda-plyus,name,90
Домашний,Xdomashny,Xdomashny,Россия,RU,openbox-tsd,domashniy,name,90
Звезда +7,Xzvezda-pl7,Xzvezda-pl7,Россия,RU,openbox-tsd,zvezda-plus-7,name,90
Домашний HD,Xdomashny,Xdomashny,Россия,RU,openbox-tsd,domashniy,name,90
Домашний +4,Xdomashny-pl4,Xdomashny-pl4,Россия,RU,openbox-tsd,domashniy-plus-4,name,90
Домашний +2,Xdomashny-pl2,Xdomashny-pl2,Россия,RU,openbox-tsd,domashniy-plus-2,name,90
Первый Крымский,Xpervy-krymsky,Xpervy-krymsky,Россия,RU,openbox-tsd,1-krim,name,90
Миллет,Xmillet,Xmillet,Россия,RU,openbox-tsd,millet,name,90
Че!,Xche,Xche,Россия,RU,openbox-tsd,che,name,90
Москва Доверие,Xdoverie,Xdoverie,Россия,RU,openbox-tsd,moskva-doverie,name,90
Че +2,che-pl2,che-pl2,Россия,RU,openbox-tsd,che-plus-2,name,90
Че +4,che-pl4,che-pl4,Россия,RU,openbox-tsd,che-plus-4,name,90
Че +7,che-pl7,che-pl7,Россия,RU,openbox-tsd,che-plus-7,name,90
Красная линия,Xkrasnaya-linia,Xkrasnaya-linia,Россия,RU,openbox-tsd,krasnaya-liniya,name,90
Белгород 24,Xbelgorod24,Xbelgorod24,Россия,RU,openbox-tsd,belgorod-24,name,90
ЛДПР ТВ,Xldpr-tv,Xldpr-tv,Россия,RU,openbox-tsd,ldpr-tv,name,90
БелРос HD,Xbelros,Xbelros,Россия,RU,openbox-tsd,soyuzniy,name,90
Первый Ростовский,Xpervy-rostovsky,Xpervy-rostovsky,Россия,RU,openbox-tsd,1-rostovskiy,name,90
Щёлково,Xschelkovo,Xschelkovo,Россия,RU,openbox-tsd,tv-41,name,90
ТНВ-Планета,Xtnv-planeta,Xtnv-planeta,Россия,RU,openbox-tsd,tnv-planeta,name,90
ТНВ-Татарстан,Xtnv,Xtnv,Россия,RU,openbox-tsd,tnv,name,90
Тео-ТВ,Xteotv,Xteotv,Россия,RU,openbox-tsd,teo-tv,name,90
Север,Xsever,Xsever,Россия,RU,openbox-tsd,sever,name,90
1+1,X1plus1,X1plus1,Украинские,UA,openbox-tsd,1plus1,name,90
1+1 HD,X1plus1,X1plus1,Украинские,UA,openbox-tsd,1plus1,name,90
1+1 Україна,X1plus1-ukraina,X1plus1-ukraina,Украинские,UA,openbox-tsd,1plus1-ukraina,name,90
1+1 Україна HD,X1plus1-ukraina,X1plus1-ukraina,Украинские,UA,openbox-tsd,1plus1-ukraina,name,90
2+2,X2plus2,X2plus2,Украинские,UA,openbox-tsd,2plus2,name,90
2+2 HD,X2plus2,X2plus2,Украинские,UA,openbox-tsd,2plus2,name,90
ICTV,Xictv-ua,Xictv-ua,Украинские,UA,openbox-tsd,ictv,name,90
ICTV HD,Xictv-ua,Xictv-ua,Украинские,UA,openbox-tsd,ictv,name,90
Твій Серіал HD,V1950,V1950,Украинские,UA,openbox-tsd,tviy-serial,name,90
UA:Перший,Xua-pershy,Xua-pershy,Украинские,UA,openbox-tsd,ua-pershiy,name,90
UA: Київ,Xua-kyiv,Xua-kyiv,Украинские,UA,openbox-tsd,ua-kiiv,name,90
СТБ,Xstb-ua,Xstb-ua,Украинские,UA,openbox-tsd,stb,name,90
СТБ HD,Xstb-ua,Xstb-ua,Украинские,UA,openbox-tsd,stb,name,90
Super+,Xsuperplus,Xsuperplus,Украинские,UA,openbox-tsd,superplus,name,90
Конкурент.Україна,Xkonkurent-ua,Xkonkurent-ua,Украинские,UA,openbox-tsd,konkurent-ukraina,name,90
НТН,Xntn-ua,Xntn-ua,Украинские,UA,openbox-tsd,ntn,name,90
НТН HD,Xntn-ua,Xntn-ua,Украинские,UA,openbox-tsd,ntn,name,90
Интер,Xinter-ua,Xinter-ua,Украинские,UA,openbox-tsd,inter,name,90
Интер HD,Xinter-ua,Xinter-ua,Украинские,UA,openbox-tsd,inter,name,90
Интер+,Xinter-plus-ua,Xinter-plus-ua,Украинские,UA,openbox-tsd,inter,name,90
Интер+ HD,Xinter-plus-ua,Xinter-plus-ua,Украинские,UA,openbox-tsd,inter,name,90
ТЕТ,Xtet-ua,Xtet-ua,Украинские,UA,openbox-tsd,tet,name,90
ТЕТ HD,Xtet-ua,Xtet-ua,Украинские,UA,openbox-tsd,tet,name,90
К1,Xk1-ua,Xk1-ua,Украинские,UA,openbox-tsd,k-1,name,90
К1 HD,Xk1-ua,Xk1-ua,Украинские,UA,openbox-tsd,k-1,name,90
К2,Xk2-ua,Xk2-ua,Украинские,UA,openbox-tsd,k-2,name,90
К2 HD,Xk2-ua,Xk2-ua,Украинские,UA,openbox-tsd,k-2,name,90
Фронт,Xfront-ua,Xfront-ua,Украинские,UA,openbox-tsd,front,name,90
Гумор+,,gumor,Украинские,UA,openbox-tsd,gumor,name,90
Прямий HD,Xpriamyj,Xpriamyj,Украинские,UA,openbox-tsd,pryamiy,name,90
ATR,Xatr-ua,Xatr-ua,Украинские,UA,openbox-tsd,atr,name,90
Мега HD,Xmega-ua,Xmega-ua,Украинские,UA,openbox-tsd,mega,name,90
Мега,Xmega-ua,Xmega-ua,Украинские,UA,openbox-tsd,mega,name,90
Оце HD,Xotse,Xotse,Украинские,UA,openbox-tsd,oce,name,90
Рада,Xrada-ua,Xrada-ua,Украинские,UA,openbox-tsd,rada,name,90
Бігуді,Xbigudi,Xbigudi,Украинские,UA,openbox-tsd,bigudi,name,90
Кус-кус,Xkus-kus,Xkus-kus,Украинские,UA,openbox-tsd,kus-kus,name,90
Zoom HD,Xzoom-ua,Xzoom-ua,Украинские,UA,openbox-tsd,zoom,name,90
Zoom,Xzoom-ua,Xzoom-ua,Украинские,UA,openbox-tsd,zoom,name,90
Суспільне Полтава,suspilne-poltava,suspilne-poltava,Украинские,UA,openbox-tsd,ua-poltava,name,90
UA:Культура,Xkultura-ua,Xkultura-ua,Украинские,UA,openbox-tsd,ua-kultura,name,90
UA: Херсон,Xua-xerson,Xua-xerson,Украинские,UA,openbox-tsd,ua-herson,name,90
ТВА,Xtva-ua,Xtva-ua,Украинские,UA,openbox-tsd,tva,name,90
РАІ,Xraiua,Xraiua,Украинские,UA,openbox-tsd,rai,name,90
Рівне-1,Xrivne1,Xrivne1,Украинские,UA,openbox-tsd,rivne-1,name,90
Сварожичи,,svarozhichi,Украинские,UA,openbox-tsd,svarozhichi,name,90
C4 (Чернівці),,c4-chernivci,Украинские,UA,openbox-tsd,c4-chernivci,name,90
Viju+ Serial HD,Xvip-serial,Xvip-serial,Кино,,openbox-tsd,vip-serial,name,90
Viju+ Comedy HD,Xvip-comedy,Xvip-comedy,Кино,,openbox-tsd,vip-comedy,name,90
KION Хит,Xkion-xit,Xkion-xit,Кино,,openbox-tsd,kion-hit,name,90
Страшное HD,Xstrashnoe-hd,Xstrashnoe-hd,Кино,,openbox-tsd,strashnoe-hd,name,90
Киноужас HD,Xkinouzhas,Xkinouzhas,Кино,,openbox-tsd,kinouzhas,name,90
Про Любовь HD,Xpro-lyubov,Xpro-lyubov,Кино,,openbox-tsd,pro-lyubov,name,90
Кинопремьера HD,Xkinopremiera-hd,Xkinopremiera-hd,Кино,,openbox-tsd,kinopremera,name,90
Камеди HD,Xkamedi,Xkamedi,Кино,,openbox-tsd,kamedi,name,90
Кинохит,Xkinoxit,Xkinoxit,Кино,,openbox-tsd,kinohit,name,90
Киносемья,Xkinosemiya,Xkinosemiya,Кино,,openbox-tsd,kinosemya,name,90
Киносемья HD,Xkinosemiya,Xkinosemiya,Кино,,openbox-tsd,kinosemya,name,90
Киносвидание,Xkinosvidanie,Xkinosvidanie,Кино,,openbox-tsd,kinosvidanie,name,90
Кинокомедия,Xkinokomedia,Xkinokomedia,Кино,,openbox-tsd,kinokomediya,name,90
Лавстори HD,Xlavstori,Xlavstori,Кино,,openbox-tsd,lavstori,name,90
AMEDIA 1 HD,Xamedia1,Xamedia1,Кино,,openbox-tsd,amedia-1,name,90
Amedia 1,Xamedia1,Xamedia1,Кино,,openbox-tsd,amedia-1,name,90
Amedia 2,Xamedia2,Xamedia2,Кино,,openbox-tsd,amedia-2,name,90
AMEDIA Premium HD,Xamedia-premium,Xamedia-premium,Кино,,openbox-tsd,amedia-premium-hd,name,90
Amedia premium,Xamedia-premium,Xamedia-premium,Кино,,openbox-tsd,amedia-premium-hd,name,90
.black,Xsony-turbo,Xsony-turbo,Кино,,openbox-tsd,black,name,90
