playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
jk_Skott,,jk_Skott,,,True,0,mapped_channel_missing_from_worker
jk_Kameron,,jk_Kameron,,,True,0,mapped_channel_missing_from_worker
jk_Besson,,jk_Besson,,,True,0,mapped_channel_missing_from_worker
jk_Nolan,,jk_Nolan,,,True,0,mapped_channel_missing_from_worker
jk_King,,jk_King,,,True,0,mapped_channel_missing_from_worker
jk_Crowe,,jk_Crowe,,,True,0,mapped_channel_missing_from_worker
jk_Hemsworth,,jk_Hemsworth,,,True,0,mapped_channel_missing_from_worker
jk_Butler,,jk_Butler,,,True,0,mapped_channel_missing_from_worker
jk_Kunis,,jk_Kunis,,,True,0,mapped_channel_missing_from_worker
jk_Neeson,,jk_Neeson,,,True,0,mapped_channel_missing_from_worker
jk_Scorpion,,jk_Scorpion,,,True,0,mapped_channel_missing_from_worker
jk_duva,,jk_duva,,,True,0,mapped_channel_missing_from_worker
Bear TV Добірка Фільмів UA HD,,bear_tv_dobirka_filmiv,,,True,0,mapped_channel_missing_from_worker
Bear TV Домашній Кінозал UA HD,,bear_tv_domashniy_kinozal,,,True,0,mapped_channel_missing_from_worker
Bear TV ФільмМанія UA HD,,bear_tv_filmmaniya,,,True,0,mapped_channel_missing_from_worker
Bear TV Фільмовий День UA HD,,bear_tv_filmovyy_den,,,True,0,mapped_channel_missing_from_worker
Bear TV Фільмовий Мікс UA HD,,bear_tv_filmovyy_miks,,,True,0,mapped_channel_missing_from_worker
Bear TV Фільми 24 UA HD,,bear_tv_filmy_24,,,True,0,mapped_channel_missing_from_worker
Bear TV Фільм за Фільмом UA HD,,bear_tv_film_za_filmom,,,True,0,mapped_channel_missing_from_worker
Bear TV Хіт Фільм UA HD,,bear_tv_hit_film,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноАтмосфера UA HD,,bear_tv_kinoatmosfera,,,True,0,mapped_channel_missing_from_worker
Bear TV Кіно Без Перерви UA HD,,bear_tv_kinobezperervy,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноХвиля UA HD,,bear_tv_kinohvylya,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноКлуб UA HD,,bear_tv_kinoklub,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноКолекція UA HD,,bear_tv_kinokolektsiya,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноЛінія UA HD,,bear_tv_kinoliniya,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноМарафон UA HD,,bear_tv_kinomarafon,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноМікс UA HD,,bear_tv_kinomiks,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноНастрій UA HD,,bear_tv_kinonastriy,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноПланета UA HD,,bear_tv_kinoplaneta,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноПлюс UA HD,,bear_tv_kinoplyus,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноПотік UA HD,,bear_tv_kinopotik,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноСвіт UA HD,,bear_tv_kinosvit,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноТайм UA HD,,bear_tv_kinotaym,,,True,0,mapped_channel_missing_from_worker
Bear TV КіноВечір UA HD,,bear_tv_kinovechir,,,True,0,mapped_channel_missing_from_worker
Bear TV Кінозал UA HD,,bear_tv_kinozal,,,True,0,mapped_channel_missing_from_worker
Bear TV Легенди Кіно UA HD,,bear_tv_legendy_kino,,,True,0,mapped_channel_missing_from_worker
