group,playlist_name,provider_name,provider_tvg_id,output_tvg_id,programme_count,current_count,future_count,current_mode,status
Кино,Amedia 2,Amedia 2,Xamedia2,Xamedia2,232,1,66,EPG,OK
Кино,AMEDIA Premium HD,AMEDIA Premium HD,Xamedia-premium,Xamedia-premium,215,1,65,EPG,OK
Кино,Amedia premium,Amedia premium,Xamedia-premium,Xamedia-premium,215,1,65,EPG,OK
Кино,.black,.black,Xsony-turbo,Xsony-turbo,187,1,46,EPG,OK
Кино,.red SD,.red SD,Xsony-enter,Xsony-enter,217,1,60,EPG,OK
Кино,.red HD,.red HD,Xsony-tv,Xsony-tv,196,1,58,EPG,OK
Кино,.sci-fi,.sci-fi,Xsony-scifi,Xsony-scifi,221,1,62,EPG,OK
Кино,Premiere HD 1,Premiere HD 1,Xpremierehd1,Xpremierehd1,123,1,32,EPG,OK
Кино,Premiere HD 2,Premiere HD 2,Xpremierehd2,Xpremierehd2,115,1,36,EPG,OK
Кино,Premiere HD 3,Premiere HD 3,Xpremierehd3,Xpremierehd3,105,1,29,EPG,OK
Кино,Premiere HD 4,Premiere HD 4,Xpremierehd4,Xpremierehd4,93,1,19,EPG,OK
Кино,Bollywood HD,Bollywood HD,Xbollywood-hd,Xbollywood-hd,84,1,25,EPG,OK
Кино,Hollywood HD,Hollywood HD,Xhollywood-hd,hollywood-hd,134,1,30,EPG,OK
Кино,TV XXI,TV XXI,Xtvxxi,Xtvxxi,102,1,30,EPG,OK
Кино,Epic,Epic,Xepic,Xepic,153,1,40,EPG,OK
Кино,Epic Media Love,Epic Media Love,,,0,0,0,,NO_MAPPING
Кино,Epic Media,Epic Media,,,0,0,0,,NO_MAPPING
Кино,Кинопоказ,Кинопоказ,Xkinopokaz,Xkinopokaz,99,1,29,EPG,OK
Кино,Киносат,Киносат,Xkinosat,Xkinosat,120,1,35,EPG,OK
Кино,Кино ТВ HD,Кино ТВ HD,Xkino-tv,Xkino-tv,109,1,35,EPG,OK
Кино,4ever Theater HD,4ever Theater HD,X4ever-theater,X4ever-theater,89,1,72,EPG,OK
Кино,4ever Cinema HD,4ever Cinema HD,X4ever-cinema,X4ever-cinema,89,1,72,EPG,OK
Кино,4ever Drama HD,4ever Drama HD,X4ever-drama,X4ever-drama,89,1,72,EPG,OK
Кино,Киножелезо HD,Киножелезо HD,no_epg_cinema,okko-tv,358,1,88,EPG,OK
Кино,Kinowood,Kinowood,Xkinowood,Xkinowood,112,1,30,EPG,OK
Кино,Детское Кино International,Детское Кино International,,6261,246,1,117,EPG,OK
Кино,BEST Films HD,BEST Films HD,,Best Films,89,1,72,EPG,OK
Кино,Кинодром,Кинодром,,,0,0,0,,NO_MAPPING
Кино,Воен ТВ,Воен ТВ,Xvoentv-by,Xvoentv-by,130,1,44,EPG,OK
Кино,Кино 1 international,Кино 1 international,,kino1int-tviksel,116,1,36,EPG,OK
Кино,Окко ТВ HD,Окко ТВ HD,Xbubokko-tv,Xbubokko-tv,199,1,87,EPG,OK
Кино,НТВ Сериал Балабол,НТВ Сериал Балабол,no_epg_cinema,,0,0,0,,NO_MAPPING
Кино,Тех Лет ТВ,Тех Лет ТВ,,Тех Лет ТВ,68,2,42,EPG,OK
Кино,Муви ТВ,Муви ТВ,Xmuvitv,Xmuvitv,79,1,23,EPG,OK
Кино,Ужасы HD,Ужасы HD,,Ужасы HD,38,0,0,,NO_CURRENT_PROGRAMME;NO_NEXT_PROGRAMME
Кино,Тайна,Тайна,,tayna,185,1,59,EPG,OK
Кино,Киноман,Киноман,,Xkinosat,120,1,35,EPG,OK
Кино,Киносезон,Киносезон,,kinosezon,177,1,55,EPG,OK
Кино,Кино 24/7,Кино 24/7,,,0,0,0,,NO_MAPPING
Кино,Кино Топ,Кино Топ,,,0,0,0,,NO_MAPPING
Кино,Лента Кино,Лента Кино,,,0,0,0,,NO_MAPPING
Кино,Детектив HD,Детектив HD,,,0,0,0,,NO_MAPPING
Кино,Киножелезо HD,Киножелезо HD,,okko-tv,358,1,88,EPG,OK
Кино,Кинолаффка HD,Кинолаффка HD,,,0,0,0,,NO_MAPPING
Кино,Кино и Жизнь,Кино и Жизнь,,kino-i-zhizn,163,1,48,EPG,OK
Кино,Star Media,Star Media,,,0,0,0,,NO_MAPPING
Кино,VHS-ка Сериал,VHS-ка Сериал,Xvhska-serial,Xvhska-serial,195,1,61,EPG,OK
Кино,VHS-ка HD,VHS-ка HD,Xvhs-ka,Xvhs-ka,111,1,32,EPG,OK
