playlist_name,playlist_tvg_id,group
VIP Sport 5,,Спорт
VIP Sport 6,,Спорт
VIP Sport 7,,Спорт
VIP Sport 8,,Спорт
VIP Sport 9,,Спорт
VIP Sport 11,,Спорт
VIP Sport 12,,Спорт
VIP Sport 13,,Спорт
ViP Sport 14,,Спорт
ViP Sport 15,,Спорт
ViP Sport 16,,Спорт
ViP Sport 17,,Спорт
betking live 1,,Спорт
betking live 2,,Спорт
Betking Live 3,,Спорт
FintGa 1,,Спорт
FintGa 2,,Спорт
FintGa 3,,Спорт
FintGa 4,,Спорт
Pimple 1,,Спорт
Pimple 2,,Спорт
Pimple 3,,Спорт
Pimple 4,,Спорт
Pimple 5,,Спорт
Pimple 6,,Спорт
Box Sport Live 12 HD,,Спорт
Box Sport Live 13 HD,,Спорт
Box Sport Live 14 HD,,Спорт
Box Sport Live 15 HD,,Спорт
MMA Junkie,,Спорт
Dubai Sports 2,,Спорт
Dubai Sports 3,,Спорт
DAZN 1 ESPANA,,Спорт
DAZN 2 ESPAÑA,,Спорт
Canal 11 International,,Спорт
Glory Kickboxing,,Спорт
Arena Premium 4 HD,,Спорт
Arena Premium 5 HD,,Спорт
FIFA+ HD (Spain),fifaplusesp,Спорт
FIFA+ HD (USA),fifaplususa,Спорт
FIFA+ HD (French),fifaplusfrench,Спорт
FIFA+ HD (German),fifaplusgerman,Спорт
FIFA+ HD (Hispan America),fifaplushispanamerica,Спорт
FIFA+ HD (Italy),fifaplusitaly,Спорт
FIFA+ HD (Portugal),fifaplusportugal,Спорт
FIFA+ Women HD,fifapluswomen,Спорт
Top Barca,,Спорт
Man City 24/7,,Спорт
Viasat Explore Best HD,,Познавательные
Viasat Nature Best HD,,Познавательные
Viasat History Best HD,,Познавательные
ZooSweet,,Познавательные
Невигадані Історії HD,,Познавательные
FlixSpin,Xpervy-obrazovatelny,Познавательные
Континент Е,,Познавательные
Загублений світ,,Познавательные
Орел и Решка,,Познавательные
DITV 4К,,Познавательные
DITV Дикая природа 4К,,Познавательные
DITV Кулинария,,Познавательные
Мультфільми для малечі HD,,Детские
BCU Kids HD,Xbcu-multzal,Детские
DITV Союзмултфилм,no_epg_mult,Детские
DITV Сборник мультфильмов сказок,no_epg_mult,Детские
DITV Детский канал,no_epg_mult,Детские
DITV Детский досуг,no_epg_mult,Детские
DITV Фиксики  4К,no_epg_mult,Детские
DITV Мультфильмы для малышей,no_epg_mult,Детские
Trace Brazil,Xtrace-brasil,Музыкальные
100% NL,,Музыкальные
Легенды Ретро FM,,Музыкальные
V2Beat TV Live,,Музыкальные
Happy Radio,,Музыкальные
Impact TV Dance,,Музыкальные
BOX_MUSIC2_4K,,Музыкальные
Best of Dance TV,,Музыкальные
Oxygen Music,,Музыкальные
Deep House District,,Музыкальные
Tech House | Algorhythm,,Музыкальные
House Floor,,Музыкальные
MNML | The deeper side of Tech and House,,Музыкальные
EDM Mainstage,,Музыкальные
Ocko tv MUSIK,,Музыкальные
Company TV,,Музыкальные
RFM TV,,Музыкальные
Energy Music,,Музыкальные
Total Music Dance,,Музыкальные
Total Music Concerts,,Музыкальные
Total Music 2000s,,Музыкальные
Impact TV 2,,Музыкальные
Tele 7 Music,,Музыкальные
Activa T,,Музыкальные
Hype Radio TV,,Музыкальные
Enjoy Television,,Музыкальные
Radio Contact,,Музыкальные
VIVA H,,Музыкальные
VEVO 90S,,Музыкальные
Retro Plus Senal Dos,,Музыкальные
Fun Radio TV,,Музыкальные
PAI Музика,,Музыкальные
Muzzik TV,,Музыкальные
538 T,,Музыкальные
RTL 102.5 Disco,,Музыкальные
RTL 102.4 Radio Zeta,,Музыкальные
IBIZA TV,,Музыкальные
Zeruno TV,,Музыкальные
Musicbox 80s,,Музыкальные
Musicbox 90s,,Музыкальные
Music Top,,Музыкальные
TVM 3,,Музыкальные
RTL 102.5 Traffic,,Музыкальные
RTL 102.5 Best,,Музыкальные
RTL 102.5 Napulè,,Музыкальные
RTL 102.5 Caliente,,Музыкальные
RTL 102.5 Bro&Sis,,Музыкальные
RTL 102.5 Radio Visione,,Музыкальные
Record Rock,,Музыкальные
Play-X UA music,,Музыкальные
Play-X Хиты 80-x HD,,Музыкальные
Play-X Хиты 90-х HD,,Музыкальные
Play-X Дискотека 90-х,,Музыкальные
Play-X Retro Disco,,Музыкальные
Play-X Золото шансона,,Музыкальные
Play-X Муз коллекция Дитер Болен,,Музыкальные
Play-X Музыкальная дорожка 90-х,,Музыкальные
Play-X Русский рок,,Музыкальные
Центр BY,,Беларусь
Nickelodeon Baltic,Xnickelodeon-baltic,Литва
Radio SWH TV,RadioSWHTV.lv@SD,Литва
TV Jūrmala,TVJurmala.lv@SD,Литва
OTV HD,Xotv-lv,Латвия
M-1,,Латвия
Power Hit Radio,,Латвия
RTL UP Austria,,Германия
Sportdigital EDGE,X76705,Германия
One Terra HD,,Германия
Xplore HD,,Германия
ProSieben Sat.1 UHD,,Германия
SERIEN + HD,,Германия
Club 3,,Германия
Aristo TV,,Германия
ORF 2 EUROPE,,Германия
ORF HITRADIO OE3 VISUAL,,Германия
