enabled,playlist_name,source,source_id,notes
1,BCU Праздники HDR,openbox-tsd,bcu-prazdniki,"auto-discovered from live title; similarity=0.950; observed=Праздники - 3 сезон, 16 серия; candidate=Т/с Праздники - 3 сезон, 16 серия.; requires two positive observations before selection"
1,BCU Праздники HDR,bcumedia-dedicated,BCU Праздники HDR,"auto-discovered from live title; similarity=1.000; observed=Праздники - 3 сезон, 16 серия; candidate=Праздники - 3 сезон, 16 серия; requires two positive observations before selection"
1,VeleS Наше Кино,tvteam,ch2802,auto-discovered from live title; similarity=1.000; observed=Спутник (2020); candidate=Спутник (2020).; requires two positive observations before selection
1,BCU Праздники HDR,gabbarit-current,BCU Сваты 4K,"auto-discovered from live title; similarity=1.000; observed=Праздники - 3 сезон, 16 серия; candidate=Праздники - 3 сезон, 16 серия.; requires two positive observations before selection"
1,VeleS Наше Кино,gabbarit-current,VeleS Наше Кино,auto-discovered from live title; similarity=1.000; observed=Спутник (2020); candidate=Спутник (2020).; requires two positive observations before selection
1,BCU Праздники HDR,gabbarit-primary,BCU Сваты 4K,"auto-discovered from live title; similarity=1.000; observed=Праздники - 3 сезон, 16 серия; candidate=Праздники - 3 сезон, 16 серия.; requires two positive observations before selection"
1,VeleS Наше Кино,gabbarit-primary,VeleS Наше Кино,auto-discovered from live title; similarity=1.000; observed=Спутник (2020); candidate=Спутник (2020).; requires two positive observations before selection
1,BCU Праздники HDR,gabbarit-mirror,BCU Сваты 4K,"auto-discovered from live title; similarity=1.000; observed=Праздники - 3 сезон, 16 серия; candidate=Праздники - 3 сезон, 16 серия.; requires two positive observations before selection"
1,VeleS Наше Кино,gabbarit-mirror,VeleS Наше Кино,auto-discovered from live title; similarity=1.000; observed=Спутник (2020); candidate=Спутник (2020).; requires two positive observations before selection
1,VeleS 60FPS,iptv-online-primary,Xveles-60fps,auto-discovered from live title; similarity=0.950; observed=Король Лев (2019); candidate=х/ф Король Лев (2019); requires two positive observations before selection
1,VeleS 60FPS,iptvx-noarch,veles-60fps,auto-discovered from live title; similarity=0.950; observed=Король Лев (2019); candidate=х/ф Король Лев (2019); requires two positive observations before selection
1,VeleS 60FPS,openbox-tsd,veles-60fps,auto-discovered from live title; similarity=0.950; observed=Король Лев (2019); candidate=X/ф Король Лев.; requires two positive observations before selection
