enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-14T03:14:33.084145+00:00,Thriller HD,УМЕРЕТЬ ЗАНОВО,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=18.25
1,2026-09-14T03:14:33.084145+00:00,BCU Action HD,Рейс навылет (2024),movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=17.75
1,2026-09-14T03:14:33.084145+00:00,MM Катастрофа HD,Зверест (2015),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.75
1,2026-09-14T03:38:32.956268+00:00,DITV СССР 4К,РЬелые росы (1983),live-verifier,high-confidence OCR from live movie stream
1,2026-09-14T06:12:30.904072+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=21.25
1,2026-09-14T06:12:30.904072+00:00,BCU Kinorating HD,Таксист (2017),movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=16.75
1,2026-09-14T06:43:11.216150+00:00,DITV СССР 4К,{ АННЫ,live-verifier,high-confidence OCR from live movie stream
1,2026-09-14T07:16:03.062037+00:00,Insomnia HD,ЖАТВА,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=16.25
1,2026-09-14T07:16:03.062037+00:00,Bear TV КиноМаяк RU UHD,< С van Ц ^ “pee BEAR | 0,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=15.0
1,2026-09-14T08:09:53.269289+00:00,YOSSO-4K,Фуоззок,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.75
1,2026-09-14T09:10:47.548290+00:00,Bear TV КиноМаяк RU UHD,инет,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=13.0
1,2026-09-14T10:10:07.882969+00:00,Дом Кино,Перси,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=16.25
1,2026-09-14T12:04:11.464422+00:00,DITV КОМЕДИИ,Амели (2001),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=21.25
1,2026-09-14T14:03:54.035486+00:00,DITV КОМЕДИИ,Чудо в камере № 7,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.75
1,2026-09-14T16:03:16.593886+00:00,DITV КОМЕДИИ,Друзья: Воссоединени,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=19.5
1,2026-09-14T16:03:16.593886+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,moserbacy,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=12.25
1,2026-09-14T18:02:22.394177+00:00,DITV Concert,САДКО,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.25
1,2026-09-14T19:05:09.232281+00:00,Thriller HD,СТОРОЖКА,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.0
1,2026-09-14T19:05:09.232281+00:00,DITV КОМЕДИИ 90-х,= = KOME BUTT,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=12.0
1,2026-09-14T19:05:09.232281+00:00,DITV Walt Disney,"бела""",movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-14T20:02:56.696794+00:00,DITV КОМЕДИИ,Амели (2001),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=16.25
1,2026-09-14T21:03:34.055157+00:00,VHS HD,ЗЛОВЕЩИЕ МЕРТВЕЦЫ 2,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=24.0
1,2026-09-14T21:03:34.055157+00:00,Кинолаффка HD,Биение серд,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=17.5
1,2026-09-14T22:03:01.687298+00:00,DITV Про вампиров,Почти стемнело,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=23.25
1,2026-09-14T23:02:58.535529+00:00,Thriller HD,ЗАПАДНЯ ДЛЯ ДБЯВОЛА,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=24.25
1,2026-09-14T23:02:58.535529+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор. диске (15,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.75
1,2026-09-15T02:05:36.963831+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор диско (1982),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.75
1,2026-09-15T04:04:46.470447+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор диско (19,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.75
1,2026-09-15T04:04:46.470447+00:00,DITV Concert,1 ВИРТ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=13.0
1,2026-09-15T05:05:15.237571+00:00,DITV Про вампиров,полн,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=13.0
1,2026-09-15T06:04:36.840863+00:00,DITV ФИЛЬМЫ,БРАТ (1997),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-15T06:04:36.840863+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор Виско (1982),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=22.75
1,2026-09-15T07:07:27.614276+00:00,DITV Про акул,Заклинательница акул,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=19.75
1,2026-09-15T08:03:28.106386+00:00,TVPlay Indian Cinema,чанони 1989 мелодрама,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.75
1,2026-09-15T08:03:28.106386+00:00,TVPlay Авторский перевод HD,Дракула Брэма Стокера Т992 Ужасы,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=20.0
1,2026-09-15T08:03:28.106386+00:00,Новый Русский HD,= « Bay: к eae > ENB yee <a I,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=15.75
1,2026-09-15T09:04:13.184670+00:00,TVPlay Indian Cinema,пру=оворённыц 1939,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=18.0
1,2026-09-15T09:04:13.184670+00:00,Star Family HD,БИЗНЕСОВ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=17.0
1,2026-09-15T09:04:13.184670+00:00,TVPlay Авторский перевод HD,Дракула Брэма Стокера 1998 Ужасы,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=20.0
1,2026-09-15T11:02:27.580291+00:00,Amazon Prime Romance,атагоп,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=16.5
1,2026-09-15T11:02:27.580291+00:00,Star Family HD,КУЛИН,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.25
1,2026-09-15T13:03:08.104210+00:00,Star Family HD,PWeiiiil = <,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=12.0
1,2026-09-15T14:00:38.032895+00:00,Insomnia HD,БЕЛЫЙ ШУМ,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=17.0
1,2026-09-15T15:00:25.054220+00:00,РуКино HD,EMIERE GROUP,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=12.75
1,2026-09-15T15:00:25.054220+00:00,Star Family HD,Фильм создан на произв,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=19.75
1,2026-09-15T16:59:17.743891+00:00,Star Family HD,verti,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=16.25
1,2026-09-15T16:59:17.743891+00:00,MM Семейный 1 HD,Зубная фея 2 (2012),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=13.25
1,2026-09-15T17:58:24.559632+00:00,MM Семейный 1 HD,Зубная фея 2 (2012),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.25
