enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-10T17:26:10.769997+00:00,MM Фантастика HD,Проект «Конец света» (2026) 2.“ ЧР у,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=19.75
1,2026-09-10T18:21:50.064744+00:00,DITV ФИЛЬМЫ,орько,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.25
1,2026-09-10T18:21:50.064744+00:00,MM Приключения HD,\ АХ. HEEL Keyed,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=19.75
1,2026-09-10T18:21:50.064744+00:00,MM Фантастика HD,Девятки (2007),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=21.75
1,2026-09-10T20:25:35.142748+00:00,MM Фантастика HD,Груз (2009),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=13.0
1,2026-09-10T20:25:35.142748+00:00,MM Приключения HD,Ястреб - мститель (1980),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=18.5
1,2026-09-11T01:29:46.567355+00:00,YOSSO-4K,Фуоззовк,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-11T01:29:46.567355+00:00,MM Фантастика HD,Тайные пришельцы (1996),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=18.75
1,2026-09-11T01:29:46.567355+00:00,MM Приключения HD,"2 = Agfa ale laa I"", “i",movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.0
1,2026-09-11T12:30:49.704790+00:00,Insomnia HD,И ГАСНЕТ СВЕТ...,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=22.75
1,2026-09-11T12:30:49.704790+00:00,MM Ужасы HD,Земля против паука (2001),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=15.0
1,2026-09-11T14:30:41.154026+00:00,YOSSO-4K,Фуоззовк,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=22.0
1,2026-09-11T19:32:51.150592+00:00,VeleS Наше Кино,Спутник (2020),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.75
1,2026-09-11T19:32:51.150592+00:00,BCU Праздники HDR,"Праздники - 3 сезон, 16 серия",movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=15.75
1,2026-09-11T20:05:29.863304+00:00,VeleS Наше Кино,Спутник (2020),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=21.75
1,2026-09-11T20:05:29.863304+00:00,VeleS 60FPS,Король Лев (2019),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.25
1,2026-09-11T21:05:23.464869+00:00,BCU Праздники HDR,"Праздники : 1 сезон, 1 серия",movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=24.75
1,2026-09-11T21:05:23.464869+00:00,YOSSO-4K,{_ линии,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.25
1,2026-09-11T21:33:07.011744+00:00,Star Media,"Ray APR So, pat",live-verifier,high-confidence OCR from live movie stream
1,2026-09-11T22:05:23.072192+00:00,Звёздные войны,[СЕЛЕНИУ,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.75
1,2026-09-11T22:05:23.072192+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.25
1,2026-09-11T23:06:00.312935+00:00,Thriller HD,НЕ ГОВОРИ НИКОМУ,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=23.5
1,2026-09-11T23:06:00.312935+00:00,MM Ужастик HD,Мурашки | 3-17,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=12.75
1,2026-09-12T00:06:46.763372+00:00,MM Скорость HD,Форсаж 5 (2011),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=12.5
1,2026-09-12T00:06:46.763372+00:00,YOSSO-4K,Фуоззок,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.75
1,2026-09-12T00:06:46.763372+00:00,CPS Western,TRANSPORTATION CO-CAPTAIN TODD NOBLES Цены,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-12T00:41:12.444387+00:00,MM Ужастик HD,Сказки темной стороны | 2-5,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=24.75
1,2026-09-12T00:41:12.444387+00:00,MM Ужасы HD,Перерожденные (2024),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=23.25
1,2026-09-12T01:08:02.719380+00:00,РуКино HD,АВАНПОСТ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.0
1,2026-09-12T01:08:02.719380+00:00,VeleS Страшное,Сайлент Хилл (2006),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.75
1,2026-09-12T01:08:02.719380+00:00,VeleS Premiere,Сто лет тому вперед (2024),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=24.0
1,2026-09-12T01:08:02.719380+00:00,VeleS Гоблин,Матрица (1999),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.75
1,2026-09-12T01:08:02.719380+00:00,Tricolor Cinema 7,Стражи Галактики. Праздничный спецвыпуск (2022),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=25.0
1,2026-09-12T01:08:02.719380+00:00,MM Ужасы HD,Ключ от тайной комнаты (2006),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=24.75
1,2026-09-12T01:08:02.719380+00:00,CPS Western,Feber att EN Eins 2:,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.5
1,2026-09-12T02:21:00.643764+00:00,Кино и Жизнь,Грязные деньги,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=14.25
1,2026-09-12T03:06:24.580816+00:00,MM NewFilm RU HD,Пропасть (2026),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.0
1,2026-09-12T03:06:24.580816+00:00,YOSSO-4K,Фуоззовк,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=22.0
1,2026-09-12T03:06:24.580816+00:00,MM Стивен Кинг HD,Игра Джералда (2017),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=14.0
1,2026-09-12T04:06:04.299474+00:00,YOSSO-4K,(@лозойк,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.5
1,2026-09-12T05:05:44.486618+00:00,Insomnia HD,БАБАДУК,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=21.75
1,2026-09-12T05:05:44.486618+00:00,YOSSO-4K,‘ Fee ana RNR i G \ \ moe NG,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=14.0
1,2026-09-12T07:06:55.479795+00:00,Premiere HD 3,Всего одна ночь,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=23.25
1,2026-09-12T08:05:25.982847+00:00,РуКино HD,БЕЗ МЕНЯ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.75
1,2026-09-12T08:05:25.982847+00:00,TVPlay DC Comics HD,ЧУДО-ЖЕНЩИНА 1984 2020,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.75
1,2026-09-12T08:05:25.982847+00:00,YOSSO-4K,@уоззок,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.5
1,2026-09-12T09:06:40.313404+00:00,YOSSO-4K,@лозко,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.25
1,2026-09-12T10:06:19.942795+00:00,Thriller HD,BEN LeDOUX,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=17.25
1,2026-09-12T10:06:19.942795+00:00,VeleS Movie Hits,Бойцовский клуб,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.5
1,2026-09-12T10:06:19.942795+00:00,MM Ужасы HD,Роковой выбор (2007),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=23.0
1,2026-09-12T10:06:19.942795+00:00,MM Супергерои HD,Супермен (2025),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.0
