enabled,source,source_id,offset_minutes,notes
1,openbox-tsd,cps-*,120,"Shift all CPS-family programme start/stop by +2h."
0,openbox-tsd,cps-ussr,840,"LEGACY DISABLED: old +14h hypothesis."
